email,business_name,Business_Address_ID,bank_routing_number,bank_account_number,balance
xlh8imi9@nittybiz.com,Table Enterprises,fe0686f042094000bcf1ecc27a5965fd,0710-4743-1,97352054,122892
jauaqc67@nittybiz.com,Brilliant Brewery,3b1ae691544d4a83b5375ad2e9fdff59,0710-4743-1,35843754,127259
wm1ckwsf@nittybiz.com,The Vibrant Market,1d777c8c4e144b92801843fd3527dc99,0710-4743-1,13510285,752983
ilmqmtrq@nittybiz.com,Roost & Chophouse,4e30168dffa24fd7baa6cd8002e26fc4,0710-4743-1,81217629,464034
5sxhzb2u@nittybiz.com,House Inc,060170664f2f48bda8e5a3f84025d6da,0710-4743-1,31704317,869876
jnuzagtv@nittybiz.com,Grill & Emporium,d87c6856b1f54ce0a6d9ef199a2453f2,0710-4743-1,26137124,80227
94ibp2up@nittybiz.com,Trendy House,9acd0457d7ef469f95ec6b1265dadc9d,0710-4743-1,25182857,60218
cvx8bl0c@nittybiz.com,Rustic & Superior Emporium,8db7b2304117429696565e945e12c028,0710-4743-1,37259121,374858
q0tp7vzi@nittybiz.com,Kitchen & Corner,88c447a460084bd1959b9993b2064a61,0710-4743-1,38725066,955787
6bdwv1dq@nittybiz.com,The Elegant Mart,cb22971a6eba4fc9907798ba4dfe08d6,0710-4743-1,65757803,724890
j32pov6e@nittybiz.com,Bakery & Restaurant,2a218a651fb044059dbb4955af1dfafe,0710-4743-1,72200777,292040
oifz6dql@nittybiz.com,Reliable Lounge,2c2e2d354ded4ff2b903943c8b76098c,0710-4743-1,77029447,740325
2w23vp3u@nittybiz.com,Heritage Depot,abd5d651a4754dc282592bf1f3b6939f,0710-4743-1,75752829,43850
hgl3trag@nittybiz.com,Station & Gallery,6570b9bcbdaf45488560c4821e60d0ec,0710-4743-1,59705901,509659
1r5o5gnp@nittybiz.com,Mystic Grill,f8d0a6411cbc4893845357b45429c7cb,0710-4743-1,56920170,974394
98hxs4z3@nittybiz.com,Urban Tavern,ba0cfc7404534d3c8c0d668e7568727f,0710-4743-1,72175247,660504
i3jncewo@nittybiz.com,Tavern & Chophouse,325387b47a554e13aadbcda174808d39,0710-4743-1,78674497,870517
488r6rzb@nittybiz.com,Urban Hub,076d1f9d3ed14c60a3baf603c6a5694b,0710-4743-1,61192935,311865
fqq8sjn6@nittybiz.com,Retreat Inc,128a0f2435e249289bdb5937651b327e,0710-4743-1,77929168,926378
3qd19jgo@nittybiz.com,Center Solutions,9958366e5de04bc2a4f9e0fe1f3e72d3,0710-4743-1,34026688,848763
y8nj2l4v@nittybiz.com,Parlor & Spot,2e601785dc45481cb53b8518fdc1d449,1200-6837-0,33896204,54852
g3m40ca9@nittybiz.com,Grand & Green Tavern,88c0254080ac4e5784078e0dc55fcc34,1200-6837-0,89527521,267754
7sjxpl54@nittybiz.com,Corner & Terrace,a0b1560521c7438bbbd615484f0c452e,1200-6837-0,96116116,526554
hwrpxghw@nittybiz.com,Brilliant & Heritage House,2c56381929c84e5990ad0d75bc97dae8,1200-6837-0,42953230,194376
0p2f9hd4@nittybiz.com,New & Bright Griddle,35df2bf3070841358314cd06f6f39472,1200-6837-0,78495971,802628
4itqcii8@nittybiz.com,Lively Roost,6746aa284e9a47c38b0837efc4cac019,1200-6837-0,20498517,491759
f5y2bsdt@nittybiz.com,The Radiant Bakery,cd3c0121c4d846f3a018b11fffe5da1f,1200-6837-0,65079464,811215
zd8rqre8@nittybiz.com,Radiant Delight,decbbe1e22c549568f39f366b828c5af,1200-6837-0,74609108,875200
mbspi9bf@nittybiz.com,Mystic Garden,5154e76ff54b4d29a5a206ac1455be10,1200-6837-0,90503616,381422
k2ktwa9r@nittybiz.com,Creative & Imperial Express,2d6731677a7d4bd48d4b377c75cd77f0,1200-6837-0,15939121,836964
w6j2qskm@nittybiz.com,Garden Corporation,a0b9885e4b9348b08a2426be3e21d0cd,1200-6837-0,59898843,555162
f6o4vlax@nittybiz.com,Inn & Spoon,7ea7cb48ee8f4e00b7cef4365a058a3c,1200-6837-0,91522838,924453
rmior4gu@nittybiz.com,Majestic & Swift Retreat,d6ac03dd6d67419a9e3852aa5565534f,1200-6837-0,55697943,148527
mk0846yn@nittybiz.com,The Blue Inn,e31996083e1147fcba77de9023d687ca,1200-6837-0,86507752,333477
glvpj5m0@nittybiz.com,Heritage & Grand Gallery,5696c42d755d4ce8906d8b68dd04ba9d,1200-6837-0,33060408,747459
w975dn32@nittybiz.com,Innovative Restaurant,a8a449bb8f644661a3521b9db3060bcc,1200-6837-0,91433925,561070
8jd3aqng@nittybiz.com,Grand & Grand Station,f42a2060b32441c18d96affe9e9eb6c9,1200-6837-0,56537647,943030
y7w0fu7z@nittybiz.com,The Charming Delight,e150bfecad87498291ec0fea208857fe,1200-6837-0,14271079,135344
28tu5lvm@nittybiz.com,Reliable Center,782895ff8873456aac108ca8d25ad016,1200-6837-0,92942658,739744
cvs31lob@nittybiz.com,The Delightful Mart,9ccf1dd3f4d84dfebc422636e3c7daf9,1200-6837-0,20593207,981481
gdr4w1to@nittybiz.com,The Brilliant Terrace,1ef6c85fefde41c0b5d8d0d1071734b1,1200-6837-0,33017067,936850
c8cbgk8k@nittybiz.com,Golden & Legacy Parlor,6048ef53f731490b92835255cabd40b9,1200-6837-0,24679617,584003
fnzgsfjg@nittybiz.com,Lively & Urban Tavern,986b032686db4c50b41d22766cbd17e9,1200-6837-0,10535381,187958
9xkq6lgt@nittybiz.com,Elegant & Elegant Retreat,40036ee239c84029b0c63dfea54236b2,1200-6837-0,81361253,870725
